run,command,ack,response,observation
1,aa0601,BB0600,ACK_06:bb0600,"purple, beep"
2,aa0601,BB0600,ACK_06:bb0600,"light grey, beep"
3,aa0601,BB0600,ACK_06:bb0600,"light blue, beep"
4,aa0601,BB0600,ACK_06:bb0600,"light blue, beep"
5,aa0601,BB0600,ACK_06:bb0600,"purple, beep"
6,aa0601,BB0600,ACK_06:bb0600,"cyan, beep"
7,aa0601,BB0600,ACK_06:bb0600,"light grey, beep"
8,aa0601,BB0600,ACK_06:bb0600;OTHER:bb0250,light grey
9,aa0601,BB0600,ACK_06:bb0600,"purple, beep"
10,aa0601,BB0600,ACK_06:bb0600,"cyan, beep"
